protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,account_age_in_days,average_tweets_per_day,followers_following_count
0,0,1,339,387,17299,29,1,0,8,0,7,0,0,0,0,1,0,5017,3.4480765397648,131193
1,0,1,301,203,10686,131,1,0,7,0,32,1,0,0,0,1,0,4779,2.2360326428123036,61103
1,0,1,2851,3227,64347,161,1,0,14,0,6,0,0,6,0,1,1,4946,13.009906995551962,9200177
0,0,1,82,663,1041,6,1,0,9,0,10,0,0,0,0,1,0,4884,0.21314496314496315,54366
0,0,1,73,401,102,0,1,1,14,0,14,0,0,0,0,1,1,3152,0.03236040609137056,29273
0,0,1,641,453,89651,51,1,0,11,0,5,0,0,0,0,1,0,4895,18.314811031664963,290373
0,0,0,28,366,12,0,1,1,12,0,11,0,0,0,0,0,0,3303,0.0036330608537693005,10248
0,0,1,1269,366,2692,60,1,0,8,0,22,1,0,0,1,1,0,5408,0.4977810650887574,464454
0,0,0,26,145,125,0,1,1,14,0,14,0,0,0,0,1,1,3140,0.03980891719745223,3770
0,0,1,2670,2967,335856,146,1,0,9,1,19,0,0,0,0,1,1,4783,70.2186911979929,7921890
0,0,0,16176,15765,2790,33,1,1,15,0,16,0,0,0,0,1,0,3203,0.8710583827661568,255014640
1,0,1,452,234,11424,6,1,0,14,0,13,0,0,0,0,1,0,5041,2.266217020432454,105768
0,0,0,110,982,154,1,1,1,11,0,11,0,1,0,0,1,1,3153,0.04884237234379955,108020
0,1,1,117750,1240,35423,843,1,0,12,0,12,0,0,0,0,0,0,4847,7.308231896018156,146010000
1,0,1,42,44,4338,0,1,0,5,1,7,0,0,0,0,0,0,4884,0.8882063882063882,1848
0,0,1,786,269,63231,8,1,0,11,1,2,0,0,0,0,1,1,4507,14.029509651652985,211434
0,0,0,21,171,102,0,1,1,11,0,11,0,0,6,0,1,1,3141,0.03247373447946514,3591
1,0,1,609,269,5742,24,1,0,14,0,14,0,3,0,0,1,0,4729,1.214210192429689,163821
1,0,1,1329,29,1218283,2335,1,1,15,1,15,0,0,0,0,1,1,4644,262.3348406546081,38541
0,0,1,2529,133,1144,52,1,0,13,0,13,0,0,0,0,1,1,5106,0.22405013709361535,336357
0,0,0,38,186,125,0,1,1,13,0,13,0,0,0,0,1,1,3146,0.03973299427844883,7068
0,0,1,415,305,59408,5,1,0,5,1,11,0,0,0,0,1,1,4788,12.407685881370092,126575
0,0,1,890,724,48845,19,1,0,8,0,9,0,0,0,0,1,0,4849,10.073210971334296,644360
